Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
134,PROC_134,GENMOD,SAS/STAT,Analytics,Y,Y,GENMOD,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
135,PROC_135,GEOCODE,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
136,PROC_136,GFONT,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
137,PROC_137,GINSIDE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
138,PROC_138,GIS,SAS/GIS,Advanced Analytics,,,,,,,,,,,,,,
139,PROC_139,GKPI,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
140,PROC_140,GLIMMIX,SAS/STAT,Analytics,Y,Y,GLIMMIX,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
141,PROC_141,GLM,SAS/STAT,Analytics,Y,Y,GLM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
142,PROC_142,GLMMOD,SAS/STAT,Analytics,Y,Y,GLMMOD,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
143,PROC_143,GLMPOWER,SAS/STAT,Analytics,Y,Y,GLMPOWER,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
144,PROC_144,GLMSELECT,SAS/STAT,Analytics,Y,Y,GLMSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
145,PROC_145,GMAP,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
146,PROC_146,GOPTIONS,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
147,PROC_147,GPLOT,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
148,PROC_148,GPROJECT,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
149,PROC_149,GRADAR,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
150,PROC_150,GREDUCE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
151,PROC_151,GREMOVE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
152,PROC_152,GREPLAY,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
153,PROC_153,GROOVY,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
154,PROC_154,GSLIDE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
155,PROC_155,GTILE,SAS/GRAPH,Reporting,Y,Y,,,,,,,,,,,,
156,PROC_156,HADOOP,Base SAS,Data Management,Y,Y,HADOOP,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
157,PROC_157,HAPLOTYPE,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
158,PROC_158,HDMD,Base SAS,Data Management,Y,Y,HDMD,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
159,PROC_159,HP4SCORE,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
160,PROC_160,HPBIN,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
161,PROC_161,HPBNET,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
162,PROC_162,HPBOOLRULE,SAS Text Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
163,PROC_163,HPCANDISC,SAS/STAT,Analytics,Y,Y,HPCANDISC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
164,PROC_164,HPCDM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
165,PROC_165,HPCLUS,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
166,PROC_166,HPCOPULA,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
167,PROC_167,HPCORR,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
168,PROC_168,HPCOUNTREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
169,PROC_169,HPDECIDE,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
170,PROC_170,HPDMDB,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
171,PROC_171,HPDS2,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
172,PROC_172,HPEXPORT,SAS High-Performance Risk,Advanced Analytics,,,,,,,,,,,,,,
173,PROC_173,HPF,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
174,PROC_174,HPFARIMASPEC,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
175,PROC_175,HPFDIAGNOSE,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
176,PROC_176,HPFENGINE,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
177,PROC_177,HPFESMSPEC,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
178,PROC_178,HPFEVENTS,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
179,PROC_179,HPFEXMSPEC,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
180,PROC_180,HPFIDMSPEC,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
181,PROC_181,HPFMM,SAS/STAT,Analytics,Y,Y,HPFMM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
182,PROC_182,HPFOREST,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
183,PROC_183,HPFRECONCILE,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
184,PROC_184,HPFREPOSITORY,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
